id,condition,script,mix_level,cmi,n_words,text,parallel_id,features
HGM083,HING_MIX,mixed,high,36.4,11,मुझे इस file का backup लेकर folder में save करना है,H083,
HGR083,HING_ROM,latin,high,36.4,11,Mujhe is file ka backup lekar folder mein save karna hai,H083,
HGM084,HING_MIX,mixed,high,36.4,11,उसने gym join करके अपनी fitness पर focus करना शुरू किया,H084,
HGR084,HING_ROM,latin,high,36.4,11,Usne gym join karke apni fitness par focus karna shuru kiya,H084,
HGM085,HING_MIX,mixed,high,45.5,11,आज traffic jam की वजह से meeting completely miss हो गई,H085,
HGR085,HING_ROM,latin,high,45.5,11,Aaj traffic jam ki wajah se meeting completely miss ho gayi,H085,
HGM086,HING_MIX,mixed,high,40.0,10,मेरे manager ने पूरी report review करके feedback भेज दिया,H086,
HGR086,HING_ROM,latin,high,40.0,10,Mere manager ne poori report review karke feedback bhej diya,H086,
HGM087,HING_MIX,mixed,high,45.5,11,यह software update install करने के बाद system fast हो गया,H087,
HGR087,HING_ROM,latin,high,45.5,11,Yeh software update install karne ke baad system fast ho gaya,H087,
HGM088,HING_MIX,mixed,high,40.0,10,उसने bank जाकर account details update करवा लिए थे कल,H088,
HGR088,HING_ROM,latin,high,40.0,10,Usne bank jaakar account details update karwa liye the kal,H088,
HGM089,HING_MIX,mixed,high,40.0,10,हमारी college fest की planning अभी तक complete नहीं हुई,H089,
HGR089,HING_ROM,latin,high,40.0,10,Hamari college fest ki planning abhi tak complete nahi hui,H089,
HGM090,HING_MIX,mixed,high,40.0,10,मैं daily morning walk पर जाता हूँ health के लिए,H090,
HGR090,HING_ROM,latin,high,40.0,10,Main daily morning walk par jaata hoon health ke liye,H090,
HGM091,HING_MIX,mixed,high,40.0,10,उसका visa application reject हो गया documents की वजह से,H091,
HGR091,HING_ROM,latin,high,40.0,10,Uska visa application reject ho gaya documents ki wajah se,H091,
HGM092,HING_MIX,mixed,high,40.0,10,इस month का electricity bill इस बार बहुत high आया,H092,
HGR092,HING_ROM,latin,high,40.0,10,Is month ka electricity bill is baar bahut high aaya,H092,
HGM093,HING_MIX,mixed,high,40.0,10,हमने पूरा weekend house shifting में ही waste कर दिया,H093,
HGR093,HING_ROM,latin,high,40.0,10,Humne poora weekend house shifting mein hi waste kar diya,H093,
HGM094,HING_MIX,mixed,high,40.0,10,मेरे friend का wedding reception अगले Sunday शाम को है,H094,
HGR094,HING_ROM,latin,high,40.0,10,Mere friend ka wedding reception agle Sunday shaam ko hai,H094,
HGM095,HING_MIX,mixed,high,40.0,10,उसने अपना business model completely change कर दिया इस साल,H095,
HGR095,HING_ROM,latin,high,40.0,10,Usne apna business model completely change kar diya is saal,H095,
HGM096,HING_MIX,mixed,high,40.0,10,यह website बहुत slow load हो रही है browser में,H096,
HGR096,HING_ROM,latin,high,40.0,10,Yeh website bahut slow load ho rahi hai browser mein,H096,
HGM097,HING_MIX,mixed,high,40.0,10,मुझे जल्दी अपना password reset करके account recover करना पड़ेगा,H097,
HGR097,HING_ROM,latin,high,40.0,10,Mujhe jaldi apna password reset karke account recover karna padega,H097,
HGM098,HING_MIX,mixed,high,50.0,10,हमारी flight delay हो गई इसलिए connecting flight miss हुई,H098,
HGR098,HING_ROM,latin,high,50.0,10,Hamari flight delay ho gayi isliye connecting flight miss hui,H098,
HGM099,HING_MIX,mixed,high,45.5,11,उसने पूरी night code लिखकर assignment submit किया deadline से पहले,H099,
HGR099,HING_ROM,latin,high,45.5,11,Usne poori night code likhkar assignment submit kiya deadline se pehle,H099,
HGM100,HING_MIX,mixed,high,36.4,11,मेरे office का work from home policy अगले month change होगी,H100,
HGR100,HING_ROM,latin,high,36.4,11,Mere office ka work from home policy agle month change hogi,H100,
